"Country","Region","year_paygap_X2000","year_paygap_X2001","year_paygap_X2002","year_paygap_X2003","year_paygap_X2004","year_paygap_X2005","year_paygap_X2006","year_paygap_X2007","year_paygap_X2008","year_paygap_X2009","year_paygap_X2010","year_paygap_X2011","year_paygap_X2012","year_paygap_X2013","year_paygap_X2014","year_paygap_X2015","year_gdp_X2000","year_gdp_X2001","year_gdp_X2002","year_gdp_X2003","year_gdp_X2004","year_gdp_X2005","year_gdp_X2006","year_gdp_X2007","year_gdp_X2008","year_gdp_X2009","year_gdp_X2010","year_gdp_X2011","year_gdp_X2012","year_gdp_X2013","year_gdp_X2014","year_gdp_X2015"
"Australia","Oceania",17.2,14.34210526,15,13.04347826,14.35294118,15.77777778,16.66666667,15.4,11.93737769,16.36363636,14.04293381,15.96638656,13.75,18,15.38461539,13,42233,42781,44048,44752,46105,46925,47547,48756,49066,48967,49348,50050,51053,51252,51793,52237
"Austria","WesternEurope",23.14194309,22.80181782,24.48922362,21.13692198,22.43079216,22.03208575,21.85513043,21.63427637,20.91732027,19.35596592,19.18886268,18.55055412,18.18505684,18.05321141,17.72888425,17.04325299,48639,49068,49632,49876,50920,51709,53219,55021,55648,53425,54279,55683,55810,55489,55420,55427
"Belgium","WesternEurope",13.59923114,13.18681319,11.60471442,15.20518359,11.83206107,11.51109251,10.25326797,9.873617694,8.915753683,7.480461481,7.04379562,5.838108883,6.411149826,5.912863071,3.298900367,9.8218751034375,45466,45805,46379,46667,48124,48969,49890,51345,51170,49737,50692,50888,50945,50941,51514,52263
"Canada","NorthAmerica",23.875,24.32457913,24.0131579,22.50234034,22.71794872,21.25,21.12332112,20.80823529,20.45454546,20.13186813,18.97746967,19.17553192,19.51123128,19.30323498,19.229,18.62745098,43726,44027,44866,45264,46228,47261,48018,48539,48499,46545,47453,48469,48790,49402,50311,50266
"Switzerland","WesternEurope",23.78714118,23.2944,22.80161943,22.407,22.012478,21.6653,21.31813213,21.3128,21.30750605,20.6806,20.05359536,19.6986,19.34352644,18.1421,16.94074284,21.7427366952632,61930,62596,62148,61670,62989,64423,66594,68640,69704,67490,69174,69838,69942,70401,71249,71611
"Chile","CentralSouthAmerica",12.7556323183,12.7556323183,12.7556323183,12.7556323183,12.7556323183,12.7556323183,3.958415842,5.6692,7.3801,9.090909091,12.5455,16,16.3333,16.66666667,18.8596,21.05263158,15952,16295,16614,17105,18142,18956,19978,20742,21270,20729,21724,22821,23786,24483,24641,24915
"Colombia","CentralSouthAmerica",5.83461850388889,5.83461850388889,5.83461850388889,5.83461850388889,5.83461850388889,5.83461850388889,5.83461850388889,1.339317018,1.739690722,3.384675171,6.430555556,3.534808419,8.197946776,7.142857143,9.6,11.14171573,9825,9863,9983,10246,10660,11028,11629,12266,12520,12515,12926,13664,14036,14589,15074,15346
"Costa Rica","CentralSouthAmerica",3.3775344618,3.3775344618,3.3775344618,3.3775344618,3.3775344618,3.3775344618,3.3775344618,3.3775344618,3.3775344618,3.3775344618,3.3775344618,4.630681818,0.552486188,2.8511,5.149700599,3.703703704,13262,13436,13652,14038,14426,14763,15598,16647,17190,16783,17385,17980,18612,18834,19254,19714
"Czechia","CentralEasternEurope",17.9535,16.87662165,15.95069783,15.63749732,16.14681968,15.93892946,15.35176621,16.93153188,17.87301988,15.10501797,15.79850307,16.3296567,15.26297988,15.37883532,16.2545602,16.45515416,26422,27354,27848,28843,30216,32125,34190,35899,36485,34581,35336,36029,35703,35682,36440,38338
"Germany","WesternEurope",20.5107084,19.2485083,19.13580247,20.39758504,22.50935252,17.30205279,19.62209302,17.10526316,17.44233577,17.04545455,16.75081342,16.66666667,15.30054645,13.85714286,17.07953064,19.3888612247826,45892,46629,46502,46193,46789,47201,49101,50676,51306,48554,50709,52705,52826,52913,53857,54189
